location_day_id,location,event_date,status,confirming_url,confirmation_method,query_used,reason
LD-2026-03-13-شبعا (Shebaa),شبعا (Shebaa),2026-03-13,uncovered,,,"base: (""Shebaa"" OR ""Chebaa"" OR ""Shabaa"") AND Lebanon | fallback: (""Shebaa"" OR ""Chebaa"" OR ""Shabaa"") AND Lebanon AND (""drone"" OR ""strike"")","RECLASSIFIED (QA rule): every result in both base and fallback queries was examined (all result sets were small, well under the 10-item inspection cap -- confirmed via true story_count) and all were Lebanese-domestic outlets, so none can count as international confirmation. Full set examined -> uncovered, not unresolved. Base query: no_nonlebanese_candidates. Fallback query: no_nonlebanese_candidates. Results existed but none confirmed among fetchable non-Lebanese candidates (or all fetches failed)."
LD-2026-03-13-برج قلاويه (Burj Qalawiyeh),برج قلاويه (Burj Qalawiyeh),2026-03-13,covered,https://news.antiwar.com/2026/03/15/who-condemns-israeli-attacks-on-lebanese-health-care-workers-that-have-killed-at-least-31/?utm_source=rss&utm_medium=rss&utm_campaign=who-condemns-israeli-attacks-on-lebanese-health-care-workers-that-have-killed-at-least-31,"alias match: ""burj qalawiyeh""","(""Burj Qalawiyeh"" OR ""Bourj Qalaouiye"" OR ""Burj Kalaouiyeh"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""burj qalawiyeh"""
LD-2026-03-13-طريق الشعيتية (Al-Shaitiyeh road),طريق الشعيتية (Al-Shaitiyeh road),2026-03-13,uncovered,,,"(""Shaitiyeh"" OR ""Chaytiyeh"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-13-ياطر (Yatar),ياطر (Yatar),2026-03-13,covered,https://news.un.org/en/story/2026/03/1167136,"alias match: ""yatar""","(""Yatar"" OR ""Yater"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""yatar"""
LD-2026-03-14-القطراني (Qatrani),القطراني (Qatrani),2026-03-14,covered,https://dunyanews.tv/en/World/940757-israel-launches-fresh-strike-on-south-beirut,"alias match: ""qatrani""","(""Qatrani"" OR ""Katrani"" OR ""Al-Qatrani"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""qatrani"""
LD-2026-03-14-القنطرة (Qantara),القنطرة (Qantara),2026-03-14,covered,https://www.bbc.com/news/articles/clyz78kgp22o,"alias match: ""qantara""","(""Qantara"" OR ""Kantara"" OR ""Al-Qantara"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""qantara"""
LD-2026-03-14-النبعة (Nabaa),النبعة (Nabaa),2026-03-14,covered,https://www.dawn.com/news/1982247/israeli-strike-kills-12-lebanon-medics-amid-peace-push,"alias match: ""nabaa""","(""Nabaa"" OR ""Naba"" OR ""El-Nabaa"" OR ""Bourj Hammoud"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""nabaa"""
LD-2026-03-14-حارة صيدا (Harit Saida),حارة صيدا (Harit Saida),2026-03-14,covered,https://www.bernama.com/en/news.php/?id=2534689,"alias match: ""haret saida""","(""Harit Saida"" OR ""Haret Saida"" OR ""Hara Saida"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""haret saida"""
LD-2026-03-14-مجدل سلم (Majdal Selem),مجدل سلم (Majdal Selem),2026-03-14,uncovered,,,"(""Majdal Selem"" OR ""Majdal Silm"" OR ""Majdel Selm"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-14-برج قلاويه (Burj Qalawiyeh),برج قلاويه (Burj Qalawiyeh),2026-03-14,unresolved,,,"(""Burj Qalawiyeh"" OR ""Bourj Qalaouiye"" OR ""Burj Kalaouiyeh"") AND Lebanon","DOWNGRADED on duplicate-source audit: The confirming antiwar.com article explicitly describes ""a late Friday attack"" -- Mar 13 is the Friday in this date range (Mar 2 = Monday), not Mar 14. Confirmation kept on the Mar 13 row instead."
LD-2026-03-15-طريق النبطية الفوقا (Nabatieh al-Fawqa road),طريق النبطية الفوقا (Nabatieh al-Fawqa road),2026-03-15,uncovered,,,"(""Nabatieh al-Fawqa"" OR ""Nabatiyeh el-Fawqa"") AND Lebanon","Zero results at D0-D3. Secondary D+7 indicator: 2 results (not confirmed to an article, informational only)."
LD-2026-03-15-عيتيت (Aitit),عيتيت (Aitit),2026-03-15,uncovered,,,"base: (""Aitit"" OR ""Aytit"" OR ""Ayteet"") AND Lebanon | fallback: (""Aitit"" OR ""Aytit"" OR ""Ayteet"") AND Lebanon AND (""airstrike"")","RECLASSIFIED (QA rule): every result in both base and fallback queries was examined (all result sets were small, well under the 10-item inspection cap -- confirmed via true story_count) and all were Lebanese-domestic outlets, so none can count as international confirmation. Full set examined -> uncovered, not unresolved. Base query: no_nonlebanese_candidates. Fallback query: no_nonlebanese_candidates. Results existed but none confirmed among fetchable non-Lebanese candidates (or all fetches failed)."
LD-2026-03-15-مجدل سلم (Majdal Selem),مجدل سلم (Majdal Selem),2026-03-15,uncovered,,,"(""Majdal Selem"" OR ""Majdal Silm"" OR ""Majdel Selm"") AND Lebanon","Zero results at D0-D3. Secondary D+7 indicator: 15 results (not confirmed to an article, informational only)."
LD-2026-03-16-معركة (Maaraka junction),معركة (Maaraka junction),2026-03-16,uncovered,,,"(""Maaraka"" OR ""Maarakeh"" OR ""Maarake"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-16-ياطر (Yatar),ياطر (Yatar),2026-03-16,covered,https://www.dawn.com/news/1982888/israeli-warplanes-launch-dawn-strikes-across-southern-lebanon,"alias match: ""yater""","(""Yatar"" OR ""Yater"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""yater"""
LD-2026-03-17-Aaba-Jbeshit area,Aaba-Jbeshit area,2026-03-17,uncovered,,,"(""Aaba"" OR ""Ebba"" OR ""Jbeshit"" OR ""Jbaachit"" OR ""Jbchit"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-17-Zebdine-Nabatieh road,Zebdine-Nabatieh road,2026-03-17,covered,https://www.ndtv.com/world-news/war-has-aged-us-lebanons-kids-arent-alright-11243255#publisher=newsstand,"alias match: ""nabatiyeh""","(""Zebdine"" OR ""Zebdin"" OR ""Zibdine"" OR ""Nabatieh"" OR ""Nabatiyeh"") AND Lebanon AND (""strike"" OR ""Lebanese"" OR ""drone"" OR ""Army"" OR ""explicit"" OR ""soldiers"")","Base query did not confirm (no_nonlebanese_candidates); fallback query confirmed. alias match: ""nabatiyeh"""
LD-2026-03-17-الغازية (Ghazieh),الغازية (Ghazieh),2026-03-17,uncovered,,,"(""Ghazieh"" OR ""Ghaziyeh"" OR ""Al-Ghazieh"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-17-بعلبك (Baalbek city),بعلبك (Baalbek city),2026-03-17,unresolved,,,"(""Baalbek"" OR ""Baalbeck"") AND Lebanon AND (""Ras al-Ain"" OR ""4 killed"" OR residential)","DOWNGRADED on duplicate-source audit: Confirming article also confirms two Mar 18 location-days (Deir al-Zahrani, Sohmor) via the same URL; those two agree with each other on date while this Mar 17 attribution is the outlier. Downgraded in favor of the Mar 18 pair."
LD-2026-03-17-الجميجمة (Al-Jmeijmeh),الجميجمة (Al-Jmeijmeh),2026-03-17,uncovered,,,"(""Jmeijmeh"" OR ""Jmaijmeh"" OR ""Al-Jmeijmeh"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-17-بنت جبيل (Bint Jbeil city),بنت جبيل (Bint Jbeil city),2026-03-17,covered,https://www.dawn.com/news/1984017/israel-strikes-southern-lebanon-overnight-as-death-toll-surpasses-1000,"alias match: ""bint jbeil""","(""Bint Jbeil"" OR ""Bint Jbail"" OR ""Bent Jbeil"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""bint jbeil"""
LD-2026-03-17-السلطانية (Al-Sultaniyeh),السلطانية (Al-Sultaniyeh),2026-03-17,uncovered,,,"(""Sultaniyeh"" OR ""Soultaniyeh"" OR ""Al-Sultaniyeh"") AND Lebanon AND (""vehicle"" OR ""strike"")",Base query: no_nonlebanese_candidates. Fallback query: zero results.
LD-2026-03-17-طريق المطار (Airport Road),طريق المطار (Airport Road),2026-03-17,uncovered,,,"base: (""Airport Road"" OR ""Beirut Airport Road"" OR ""Beirut international airport road"") AND Lebanon AND (strike OR airstrike OR raid OR killed OR attack OR shelling) | fallback: (""Airport Road"" OR ""Beirut Airport Road"" OR ""Beirut international airport road"") AND Lebanon AND (""airstrike"")","RECLASSIFIED (QA rule): every result in both base and fallback queries was examined (all result sets were small, well under the 10-item inspection cap -- confirmed via true story_count) and all were Lebanese-domestic outlets, so none can count as international confirmation. Full set examined -> uncovered, not unresolved. Base query: no_nonlebanese_candidates. Fallback query: no_nonlebanese_candidates. Results existed but none confirmed among fetchable non-Lebanese candidates (or all fetches failed)."
LD-2026-03-18-برج قلاويه (Burj Qalawiyeh),برج قلاويه (Burj Qalawiyeh),2026-03-18,covered,https://news.antiwar.com/2026/03/19/lebanon-death-toll-passes-1000-amnesty-says-israel-must-stop-attacking-hospitals/?utm_source=rss&utm_medium=rss&utm_campaign=lebanon-death-toll-passes-1000-amnesty-says-israel-must-stop-attacking-hospitals,"alias match: ""burj qalawiyeh""","(""Burj Qalawiyeh"" OR ""Bourj Qalaouiye"" OR ""Burj Kalaouiyeh"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""burj qalawiyeh"""
LD-2026-03-17-حاروف (Haroof),حاروف (Haroof),2026-03-17,uncovered,,,"(""Haroof"" OR ""Haruf"" OR ""Harouf"") AND Lebanon AND (""complex"" OR ""airstrike"")",Base query: no_nonlebanese_candidates. Fallback query: zero results.
LD-2026-03-18-القليعة (Qlaya),القليعة (Qlaya),2026-03-18,uncovered,,,"(""Qlaya"" OR ""Klaiaa"" OR ""Kleiaa"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-18-جبشيت (Jbeshit),جبشيت (Jbeshit),2026-03-18,uncovered,,,"(""Jbeshit"" OR ""Jbaachit"" OR ""Jbchit"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-18-دير الزهراني (Deir al-Zahrani),دير الزهراني (Deir al-Zahrani),2026-03-18,covered,https://www.aa.com.tr/en/middle-east/israeli-strikes-across-lebanon-kill-39-wound-68-amid-escalation/3869664,"alias match: ""deir al-zahrani""","(""Deir al-Zahrani"" OR ""Deir ez-Zahrani"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""deir al-zahrani"""
LD-2026-03-18-سحمر (Sohmor),سحمر (Sohmor),2026-03-18,covered,https://www.aa.com.tr/en/middle-east/israeli-strikes-across-lebanon-kill-39-wound-68-amid-escalation/3869664,"alias match: ""sohmor""","(""Sohmor"" OR ""Sahmor"" OR ""Sohmar"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""sohmor"""
LD-2026-03-18-شعت (Chaat),شعت (Chaat),2026-03-18,covered,https://www.newsx.com/world/middle-east-tensions-soar-as-israel-intensifies-war-on-hezbollah-strikes-more-than-2000-terror-targets-570-hezbollah-terrorists-eliminated-186006/,"alias match: ""chaat""","(""Chaat"" OR ""Shaat"" OR ""Chaath"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""chaat"""
LD-2026-03-18-حبوش (Habbouch),حبوش (Habbouch),2026-03-18,covered,https://punchng.com/israeli-air-raids-kill-12-level-buildings-in-lebanon/?utm_source=rss.punchng.com&utm_medium=web,"alias match: ""habboush""","(""Habbouch"" OR ""Habboush"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""habboush"""
LD-2026-03-18-خربة سلم (Khirbet Selm),خربة سلم (Khirbet Selm),2026-03-18,uncovered,,,"(""Khirbet Selm"" OR ""Khirbet Silm"" OR ""Kherbet Selm"") AND Lebanon","Zero results at D0-D3. Secondary D+7 indicator: 1 results (not confirmed to an article, informational only)."
LD-2026-03-18-صيدا (Sidon Corniche),صيدا (Sidon Corniche),2026-03-18,covered,https://dunyanews.tv/en/World/941345-israel-conducts-wave-of-strikes-on-beirut-knocks-out-southern-bridges,"alias match: ""sidon""","(""Sidon"" OR ""Saida"") AND Lebanon AND (corniche OR vehicle OR ""Civil Defense"" OR ""civil defence"")","Confirmed via full-text fetch, base/generic query. alias match: ""sidon"""
LD-2026-03-19-البازورية (Bazouriyeh),البازورية (Bazouriyeh),2026-03-19,covered,https://www.aa.com.tr/en/middle-east/israeli-attacks-kill-4-in-southern-lebanon/3871819,"alias match: ""bazourieh""","(""Bazouriyeh"" OR ""Bazourieh"" OR ""Bazuriyeh"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""bazourieh"""
LD-2026-03-19-عدلون (Adloun),عدلون (Adloun),2026-03-19,covered,https://www.aa.com.tr/en/middle-east/israeli-attacks-kill-4-in-southern-lebanon/3871819,"alias match: ""adloun""","(""Adloun"" OR ""Adlun"" OR ""Adloune"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""adloun"""
LD-2026-03-20-الغندورية (Al-Ghandouriyeh),الغندورية (Al-Ghandouriyeh),2026-03-20,covered,https://www.standardmedia.co.ke/world/article/2001543531/israel-targeting-hezbollah-in-beirut-strikes-south-lebanon-struck,"alias match: ""ghandouriyeh""","(""Ghandouriyeh"" OR ""Ghandourieh"" OR ""Al-Ghandouriyeh"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""ghandouriyeh"""
LD-2026-03-20-بافيله (Bafiliyeh),بافيله (Bafiliyeh),2026-03-20,uncovered,,,"(""Bafiliyeh"" OR ""Bafilieh"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-18-ميفدون (Meifadoun),ميفدون (Meifadoun),2026-03-18,uncovered,,,"(""Meifadoun"" OR ""Meifdoun"" OR ""Meifadoune"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-22-السلطانية (Al-Sultaniyeh),السلطانية (Al-Sultaniyeh),2026-03-22,covered,https://www.mirror.co.uk/news/world-news/iran-war-trump-oil-live-36889803,"alias match: ""sultaniyeh""","(""Sultaniyeh"" OR ""Soultaniyeh"" OR ""Al-Sultaniyeh"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""sultaniyeh"""
LD-2026-03-22-حبوش (Habbouch),حبوش (Habbouch),2026-03-22,covered,https://www.dailysabah.com/world/mid-east/nine-more-killed-as-israel-continues-to-strike-beirut-s-lebanon,"alias match: ""habboush""","(""Habbouch"" OR ""Habboush"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""habboush"""
LD-2026-03-23-الحازمية (Hazmieh),الحازمية (Hazmieh),2026-03-23,covered,https://vov.vn/the-gioi/giao-tranh-israel-hezbollah-lebanon-truoc-nguy-co-khung-hoang-nhan-dao-lan-rong-post1278610.vov,"alias match: ""hazmieh""","(""Hazmieh"" OR ""Hazmiyeh"" OR ""Hazmiye"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""hazmieh"""
LD-2026-03-23-الشهابية (Al-Shihabiyeh),الشهابية (Al-Shihabiyeh),2026-03-23,uncovered,,,"(""Shihabiyeh"" OR ""Chihabiyeh"" OR ""Al-Shihabiyeh"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-23-الحنية (Al-Haniyeh),الحنية (Al-Haniyeh),2026-03-23,covered,https://www.rediff.com/news/interview/luca-trenta-israeli-assassinations-in-iran-will-continue/20260326.htm,"alias match: ""haniyeh""","(""Haniyeh"" OR ""Haniye"" OR ""El-Haniyeh"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""haniyeh"""
LD-2026-03-23-مجدل سلم (Majdal Selem),مجدل سلم (Majdal Selem),2026-03-23,covered,https://www.ndtv.com/world-news/iran-israel-us-war-all-about-hezbollah-radwan-force-unit-trained-by-iran-and-north-korea-middle-east-conflict-11252874#publisher=newsstand,"alias match: ""majdal selem""","(""Majdal Selem"" OR ""Majdal Silm"" OR ""Majdel Selm"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""majdal selem"""
LD-2026-03-24-Adloun-Abu al-Aswad area,Adloun-Abu al-Aswad area,2026-03-24,unresolved,,,"(""Adloun"" OR ""Adlun"" OR ""Abu al-Aswad"" OR ""Abou el-Aswad"") AND Lebanon",DOWNGRADED on 30-sample QA audit: AUDIT (multi-URL group check): confirming URL (tribune.net.ph) is a short unrelated AFP brief about Iran -- zero mention of Lebanon. False positive.
LD-2026-03-24-Burj al-Shamali road,Burj al-Shamali road,2026-03-24,covered,http://www.adaderana.lk/news.php?nid=120215,"title casualty match: ""killed 1""","(""Burj al-Shamali"" OR ""Bourj el-Chemali"" OR ""Burj Shemali"" OR ""Burj al-Chamali"") AND Lebanon","Confirmed via full-text fetch, base/generic query. title casualty match: ""killed 1"""
LD-2026-03-23-عيتيت (Aitit),عيتيت (Aitit),2026-03-23,uncovered,,,"base: (""Aitit"" OR ""Aytit"" OR ""Ayteet"") AND Lebanon | fallback: (""Aitit"" OR ""Aytit"" OR ""Ayteet"") AND Lebanon AND (""residence"" OR ""airstrike"")","RECLASSIFIED (QA rule): every result in both base and fallback queries was examined (all result sets were small, well under the 10-item inspection cap -- confirmed via true story_count) and all were Lebanese-domestic outlets, so none can count as international confirmation. Full set examined -> uncovered, not unresolved. Base query: no_nonlebanese_candidates. Fallback query: api_error. Results existed but none confirmed among fetchable non-Lebanese candidates (or all fetches failed)."
LD-2026-03-22-الصوانة (Al-Sawwaneh),الصوانة (Al-Sawwaneh),2026-03-22,uncovered,,,"base: (""Sawwaneh"" OR ""Sawaneh"" OR ""Al-Sawwaneh"") AND Lebanon | fallback: (""Sawwaneh"" OR ""Sawaneh"" OR ""Al-Sawwaneh"") AND Lebanon AND (""airstrike"")","RECLASSIFIED (QA rule): every result in both base and fallback queries was examined (all result sets were small, well under the 10-item inspection cap -- confirmed via true story_count) and all were Lebanese-domestic outlets, so none can count as international confirmation. Full set examined -> uncovered, not unresolved. Base query: no_nonlebanese_candidates. Fallback query: api_error. Results existed but none confirmed among fetchable non-Lebanese candidates (or all fetches failed)."
LD-2026-03-24-Habbouch-Nabatieh highway,Habbouch-Nabatieh highway,2026-03-24,covered,https://www.aa.com.tr/en/middle-east/fresh-israeli-attacks-in-lebanon-kill-9-injure-47/3878101,"alias match: ""habboush""","(""Habbouch"" OR ""Habboush"") AND Lebanon AND (motorcycle OR drone)","Confirmed via full-text fetch, base/generic query. alias match: ""habboush"""
LD-2026-03-24-النبطية (Nabatieh city),النبطية (Nabatieh city),2026-03-24,unresolved,,,"(""Nabatieh"" OR ""Nabatiyeh"") AND Lebanon AND (""northern entrance"" OR ""medics"" OR ""ambulance"" OR motorcycle)","DOWNGRADED on spot-check audit: matched only on the generic word ""medics"" in the title; the CNN video page could not be loaded to verify (region-blocked, ""Content Unavailable For Legal Reasons""), so this weak single-word match could not be confirmed and is not accepted. Original: Confirmed via full-text fetch, base/generic query. title target-description match: ""medics"""
LD-2026-03-24-حبوش (Habbouch),حبوش (Habbouch),2026-03-24,unresolved,,,"(""Habbouch"" OR ""Habboush"") AND Lebanon",DOWNGRADED on 30-sample QA audit: AUDIT (multi-URL group check): confirming URL (tribune.net.ph) is a short unrelated AFP brief about a threatened invasion of an Iranian island -- zero mention of Lebanon or this town. False positive; same URL also invalidated 3 other location-days in the same group.
LD-2026-03-24-حلتا (Halta),حلتا (Halta),2026-03-24,covered,http://www.adaderana.lk/news.php?nid=120215,"title casualty match: ""killed 1""","(""Halta"" OR ""Hilta"") AND Lebanon","Confirmed via full-text fetch, base/generic query. title casualty match: ""killed 1"""
LD-2026-03-24-الشبريحة (Shabriha junction),الشبريحة (Shabriha junction),2026-03-24,covered,http://www.adaderana.lk/news.php?nid=120215,"title casualty match: ""killed 1""","(""Shabriha"" OR ""Chabriha"") AND Lebanon","Confirmed via full-text fetch, base/generic query. title casualty match: ""killed 1"""
LD-2026-03-24-عدلون (Adloun),عدلون (Adloun),2026-03-24,unresolved,,,"(""Adloun"" OR ""Adlun"" OR ""Adloune"") AND Lebanon","DOWNGRADED on 30-sample QA audit: AUDIT (multi-URL group check): confirming URL (tribune.net.ph) is a short unrelated AFP brief about Iran -- zero mention of Lebanon. False positive. (Note: a separate Mar 19 Adloun row, confirmed via a different aa.com.tr article, is correct and unaffected.)"
LD-2026-03-24-صريفا (Srifa),صريفا (Srifa),2026-03-24,covered,https://www.aa.com.tr/en/middle-east/israeli-airstrike-in-southern-lebanon-kills-3-injures-4/3879471,"alias match: ""srifa""","(""Srifa"" OR ""Sreifa"" OR ""Sarifa"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""srifa"""
LD-2026-03-24-كونين (Kounine),كونين (Kounine),2026-03-24,uncovered,,,"(""Kounine"" OR ""Kawnin"" OR ""Kaounine"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-24-محرونة (Mahrouneh),محرونة (Mahrouneh),2026-03-24,unresolved,,,"(""Mahrouneh"" OR ""Mahrouna"") AND Lebanon",DOWNGRADED on 30-sample QA audit: AUDIT (multi-URL group check): confirming URL (news.az) does not mention Mahrouneh anywhere in its full text. False positive.
LD-2026-03-25-Zawtar al-Sharqiya/al-Gharbiya area,Zawtar al-Sharqiya/al-Gharbiya area,2026-03-25,unresolved,,,"(""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar al-Gharbiya"" OR ""Zoutar el-Gharbiyeh"" OR ""Zawtar East"" OR ""Zawtar West"") AND Lebanon","DOWNGRADED on 30-sample QA audit: AUDIT (30-sample check): confirming URL (aa.com.tr, ""20 killed, dozens injured"") could not be fetched beyond nav/headline text; no genuine mention of this location found. The apparent ""casualty match"" (title-substring bug: search term ""2 killed"" matches inside ""20 killed""/""12 killed"") produced a false positive."
LD-2026-03-25-البيسارية (Beisariyeh),البيسارية (Beisariyeh),2026-03-25,uncovered,,,"(""Beisariyeh"" OR ""Bissariyeh"" OR ""Baysariyeh"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-25-حاروف (Haroof),حاروف (Haroof),2026-03-25,unresolved,,,"(""Haroof"" OR ""Haruf"" OR ""Harouf"") AND Lebanon","DOWNGRADED on duplicate-source audit: Confirming article also confirms Al-Sarafand on a different date (Mar 27) via the same URL, with no date-specific text distinguishing either; both downgraded pending verification."
LD-2026-03-26-بنت جبيل (Bint Jbeil),بنت جبيل (Bint Jbeil),2026-03-26,covered,https://news.un.org/en/story/2026/03/1167214,"alias match: ""bint jbeil""","(""Bint Jbeil"" OR ""Bint Jbail"" OR ""Bent Jbeil"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""bint jbeil"""
LD-2026-03-26-كفررمان (Kfarremen),كفررمان (Kfarremen),2026-03-26,covered,https://www.aa.com.tr/en/world/morning-briefing-march-28-2026/3882568,"alias match: ""kfar rumman""","(""Kfarremen"" OR ""Kfar Remen"" OR ""Kfar Rumman"" OR ""Kfar Roummane"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""kfar rumman"""
LD-2026-03-27-Kfartebnit-Arnoun-Nabatieh roundabout,Kfartebnit-Arnoun-Nabatieh roundabout,2026-03-27,covered,https://news.az/news/israel-strike-kills-paramedic-in-southern-lebanon,"alias match: ""kfar tebnit""","(""Kfartebnit"" OR ""Kfar Tebnit"" OR ""Arnoun"" OR ""Arnoune"") AND Lebanon AND (""Islamic Health"" OR medics OR responder)","Confirmed via full-text fetch, base/generic query. alias match: ""kfar tebnit"""
LD-2026-03-27-السكسكية (Al-Suksukiyeh),السكسكية (Al-Suksukiyeh),2026-03-27,uncovered,,,"(""Suksukiyeh"" OR ""Siksikiyeh"" OR ""Al-Suksukiyeh"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-27-الصرفند (Al-Sarafand),الصرفند (Al-Sarafand),2026-03-27,unresolved,,,"(""Sarafand"" OR ""Sarafend"" OR ""Al-Sarafand"") AND Lebanon","DOWNGRADED on duplicate-source audit: See Haroof Mar 25 row -- same duplicate-source issue, different town AND different date via one URL."
LD-2026-03-27-زوطر الشرقية (Zawtar al-Sharqiya),زوطر الشرقية (Zawtar al-Sharqiya),2026-03-27,uncovered,,,"base: (""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar East"" OR ""Zoutar Charkiye"") AND Lebanon | fallback: (""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar East"" OR ""Zoutar Charkiye"") AND Lebanon AND (""residence"" OR ""airstrike"")","RECLASSIFIED (QA rule): every result in both base and fallback queries was examined (all result sets were small, well under the 10-item inspection cap -- confirmed via true story_count) and all were Lebanese-domestic outlets, so none can count as international confirmation. Full set examined -> uncovered, not unresolved. Base query: no_nonlebanese_candidates. Fallback query: no_nonlebanese_candidates. Results existed but none confirmed among fetchable non-Lebanese candidates (or all fetches failed)."
LD-2026-03-27-البزالية (Bzaaliyeh),البزالية (Bzaaliyeh),2026-03-27,uncovered,,,"(""Bzaaliyeh"" OR ""Bzaalieh"" OR ""Bzalieh"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-28-Al-Awainat (between Rmeish and Debel),Al-Awainat (between Rmeish and Debel),2026-03-28,covered,https://www.theguardian.com/world/2026/mar/31/israel-vows-occupy-large-parts-southern-lebanon-expand-buffer-zone,"alias match: ""rmeish""","(""Rmeish"" OR ""Rmaich"" OR ""Debel"" OR ""Deble"" OR ""Dibl"" OR ""Awainat"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""rmeish"""
LD-2026-03-28-الحنية (Al-Haniyeh),الحنية (Al-Haniyeh),2026-03-28,covered,https://www.hindustantimes.com/ht-insight/international-affairs/unfolding-dynamics-of-the-gulf-crisis-101774846912006.html,"alias match: ""haniyeh""","(""Haniyeh"" OR ""Haniye"" OR ""El-Haniyeh"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""haniyeh"""
LD-2026-03-28-العيشية (Al-Eishiyeh),العيشية (Al-Eishiyeh),2026-03-28,uncovered,,,"(""Eishiyeh"" OR ""Aychiyeh"" OR ""Al-Eishiyeh"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-28-جويا (Joya),جويا (Joya),2026-03-28,covered,https://www.aa.com.tr/en/middle-east/11-killed-several-injured-in-israeli-airstrikes-on-southern-lebanon/3883674,"title casualty match: ""1 killed""","(""Joya"" OR ""Jouaiya"" OR ""Jwaya"") AND Lebanon","Confirmed via full-text fetch, base/generic query. title casualty match: ""1 killed"""
LD-2026-03-28-Kfartebnit (Kawthar school road),Kfartebnit (Kawthar school road),2026-03-28,covered,https://www.aa.com.tr/en/middle-east/10-killed-in-israeli-strikes-on-2-towns-in-south-lebanon/3883559,"alias match: ""kfartebnit""","(""Kfartebnit"" OR ""Kfar Tebnit"" OR ""Kfartibnit"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""kfartebnit"""
LD-2026-03-28-Zawtar al-Sharqiya road,Zawtar al-Sharqiya road,2026-03-28,uncovered,,,"(""Zawtar al-Sharqiya"" OR ""Zoutar el-Charkiyeh"" OR ""Zawtar East"" OR ""Zoutar Charkiye"") AND Lebanon",Zero results at D0-D3.
LD-2026-03-28-دير الزهراني (Deir al-Zahrani),دير الزهراني (Deir al-Zahrani),2026-03-28,covered,https://www.independent.co.uk/news/irbil-pakistan-houthi-middle-east-shehbaz-sharif-b2947770.html,"alias match: ""deir al-zahrani""","(""Deir al-Zahrani"" OR ""Deir ez-Zahrani"") AND Lebanon","Confirmed via full-text fetch, base/generic query. alias match: ""deir al-zahrani"""
LD-2026-03-28-معركة (Maaraka),معركة (Maaraka),2026-03-28,uncovered,,,"(""Maaraka"" OR ""Maarakeh"" OR ""Maarake"") AND Lebanon","Zero results at D0-D3. Secondary D+7 indicator: 2 results (not confirmed to an article, informational only)."
